price,date,coin
84867.75783817313,2025-05-04 00:00:00,bitcoin
83301.34777648957,2025-05-05 00:00:00,bitcoin
83747.75363656445,2025-05-06 00:00:00,bitcoin
85389.76418218843,2025-05-07 00:00:00,bitcoin
85813.62701717633,2025-05-08 00:00:00,bitcoin
91820.34626450922,2025-05-09 00:00:00,bitcoin
91518.25408513607,2025-05-10 00:00:00,bitcoin
93001.15706528649,2025-05-11 00:00:00,bitcoin
92608.06379251336,2025-05-12 00:00:00,bitcoin
92720.52109819837,2025-05-13 00:00:00,bitcoin
93135.41263308965,2025-05-14 00:00:00,bitcoin
92628.7485963221,2025-05-15 00:00:00,bitcoin
92661.57709921524,2025-05-16 00:00:00,bitcoin
92774.91969827427,2025-05-17 00:00:00,bitcoin
92467.02874784663,2025-05-18 00:00:00,bitcoin
94801.88712185419,2025-05-19 00:00:00,bitcoin
94038.27749049061,2025-05-20 00:00:00,bitcoin
94607.69454709173,2025-05-21 00:00:00,bitcoin
96787.03367900707,2025-05-22 00:00:00,bitcoin
98871.81662107036,2025-05-23 00:00:00,bitcoin
94299.52598955427,2025-05-24 00:00:00,bitcoin
94840.16453404156,2025-05-25 00:00:00,bitcoin
95724.25823928311,2025-05-26 00:00:00,bitcoin
96017.00847375012,2025-05-27 00:00:00,bitcoin
96193.03467464032,2025-05-28 00:00:00,bitcoin
95930.69199938081,2025-05-29 00:00:00,bitcoin
92934.14789122343,2025-05-30 00:00:00,bitcoin
91658.58275519268,2025-05-31 00:00:00,bitcoin
92254.81904703937,2025-06-01 00:00:00,bitcoin
93091.61394939375,2025-06-02 00:00:00,bitcoin
92458.45138170451,2025-06-03 00:00:00,bitcoin
92624.39931005353,2025-06-04 00:00:00,bitcoin
91782.99547751762,2025-06-05 00:00:00,bitcoin
88768.23567996314,2025-06-06 00:00:00,bitcoin
91583.53398020202,2025-06-07 00:00:00,bitcoin
92699.01632209739,2025-06-08 00:00:00,bitcoin
92659.65345597634,2025-06-09 00:00:00,bitcoin
96512.94882868094,2025-06-10 00:00:00,bitcoin
96361.52693604228,2025-06-11 00:00:00,bitcoin
94451.70230167847,2025-06-12 00:00:00,bitcoin
91371.68797049837,2025-06-13 00:00:00,bitcoin
91818.27939606018,2025-06-14 00:00:00,bitcoin
91331.10846591568,2025-06-15 00:00:00,bitcoin
91393.09182931395,2025-06-16 00:00:00,bitcoin
92573.8125207499,2025-06-17 00:00:00,bitcoin
91181.14730101549,2025-06-18 00:00:00,bitcoin
91265.20040243817,2025-06-19 00:00:00,bitcoin
90951.04911535523,2025-06-20 00:00:00,bitcoin
89626.58016589316,2025-06-21 00:00:00,bitcoin
88101.53564109534,2025-06-22 00:00:00,bitcoin
87680.63023736114,2025-06-23 00:00:00,bitcoin
90967.48002838687,2025-06-24 00:00:00,bitcoin
91260.23231535252,2025-06-25 00:00:00,bitcoin
91826.10161533492,2025-06-26 00:00:00,bitcoin
91494.4392664901,2025-06-27 00:00:00,bitcoin
91359.7307954153,2025-06-28 00:00:00,bitcoin
91575.30873549124,2025-06-29 00:00:00,bitcoin
92416.35354982484,2025-06-30 00:00:00,bitcoin
90905.50115907795,2025-07-01 00:00:00,bitcoin
89468.80739012624,2025-07-02 00:00:00,bitcoin
92222.83996635988,2025-07-03 00:00:00,bitcoin
93134.14475544491,2025-07-04 00:00:00,bitcoin
91725.85292993339,2025-07-05 00:00:00,bitcoin
91875.7650166877,2025-07-06 00:00:00,bitcoin
92716.27622947918,2025-07-07 00:00:00,bitcoin
92275.24309775773,2025-07-08 00:00:00,bitcoin
92941.32184580136,2025-07-09 00:00:00,bitcoin
94912.39749150201,2025-07-10 00:00:00,bitcoin
99004.56034637336,2025-07-11 00:00:00,bitcoin
100582.01197335815,2025-07-12 00:00:00,bitcoin
100451.91809854071,2025-07-13 00:00:00,bitcoin
101971.06085182444,2025-07-14 00:00:00,bitcoin
102728.1364389885,2025-07-15 00:00:00,bitcoin
101378.82351011859,2025-07-16 00:00:00,bitcoin
102050.86482619453,2025-07-17 00:00:00,bitcoin
102832.78436635552,2025-07-18 00:00:00,bitcoin
101464.59466698758,2025-07-19 00:00:00,bitcoin
101389.50375941949,2025-07-20 00:00:00,bitcoin
100808.82351084548,2025-07-21 00:00:00,bitcoin
100452.32844117121,2025-07-22 00:00:00,bitcoin
102195.0206380391,2025-07-23 00:00:00,bitcoin
100740.74328685069,2025-07-24 00:00:00,bitcoin
100674.2945847306,2025-07-25 00:00:00,bitcoin
100064.48835985326,2025-07-26 00:00:00,bitcoin
100420.96370933183,2025-07-27 00:00:00,bitcoin
101566.62233312655,2025-07-28 00:00:00,bitcoin
101773.59986999497,2025-07-29 00:00:00,bitcoin
102015.4741549543,2025-07-30 00:00:00,bitcoin
103094.65911069394,2025-07-31 00:00:00,bitcoin
101266.77423488023,2025-08-01 00:00:00,bitcoin
97670.50865860682,2025-08-02 00:00:00,bitcoin
97113.83293733928,2025-08-03 00:00:00,bitcoin
98544.69571178316,2025-08-04 00:00:00,bitcoin
99402.68189721879,2025-08-05 00:00:00,bitcoin
97748.8543113689,2025-08-05 17:18:02,bitcoin
2586.901171646469,2025-02-07 00:00:00,ethereum
2539.2746625650843,2025-02-08 00:00:00,ethereum
